ID,Organization Name,Industries,Description,CB Rank (Company),Founded Date,Exit Date,Website,Twitter,Facebook,LinkedIn,Full Description,Industry Groups,Number of Founders,Number of Employees,Founders,Number of Funding Rounds,Last Funding Date,Last Funding Amount,Last Funding Type,Total Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Acquired by,Announced Date Acquisition,IPO,followers,employeeCount,employeeCountRange,employeeCountRangeMin,employeeCountRangeMax
000337,Amparo,"['Health Care', 'Medical Device', 'Personal Health', 'Social Impact']",Disrupting prosthetic care technology with human-centered design.,"180,121",2016-08-18,,https://amparo-prosthetics.com/,https://twitter.com/Amparo_Pros,https://www.facebook.com/AmparoProsthetic/,https://www.linkedin.com/company/18104096/,"We empower amputees so they can live life to the full. Amparo is a developer, manufacturer and distributor of prosthetic components. It developed the Confidence Socket, which is the interface between the patient's residual limb and the prosthetic leg itself.  1) The fitting process is as fast as 1h time; 2) The material can be remolded 10 times, saving huge costs of health providers; and 3) All tools fit into a sports bag. making it possible to service amputee anywhere in the world.","['Health Care', 'Other', 'Social Impact']",4.0,30.5,"Felix Dietrich, Lucas Paes de Melo, Matthew Dion, Wesley Teerlink",1,2017-05-31,,Pre-Seed,,DocCheck Guano AG,1.0,1.0,0.0,,,,0,4787,9,2-10,2,10
000338,Amperecloud,"['Clean Energy', 'Energy', 'Energy Efficiency', 'Energy Management', 'Environmental Consulting', 'Hardware', 'Internet of Things', 'Renewable Energy', 'Software']",Amperecloud is the leading Operating System for Renewables.,"15,652",2019-05-01,,https://www.amperecloud.com/,,,https://de.linkedin.com/company/amperecloud,"With Amperecloud, you can monitor and manage your entire renewable energy portfolio in real-time, access new revenue streams through peer-to-peer trading and grid services, and reduce your carbon footprint and operational costs. Amperecloud is the operating system for renewables, empowering you to harness the power of clean energy with ease and confidence.","['Energy', 'Hardware', 'Internet Services', 'Professional Services', 'Software', 'Sustainability']",3.0,75.5,"Erik Nitschke, Florian Strunck, Frederik Merz",3,2024-07-30,3300000.0,Series A,11913141.0,"Point Nine, Vireo Ventures, HelloWorld, Encevo, Business Angels Club Berlin-Brandenburg e.V.",2.0,9.0,0.0,,,,0,2787,58,51-200,51,200
000339,Anyl,"['Blockchain', 'Cryptocurrency', 'Embedded Software', 'Internet of Things']",Passwordless authentication for Internet of Things devices.,"132,906",2018-03-01,,https://anyl.site,https://twitter.com/anyledgerio,,https://www.linkedin.com/company/anyledger/,Passwordless authentication for Internet of Things devices. Powered by blockchain technology.,"['Blockchain and Cryptocurrency', 'Financial Services', 'Internet Services', 'Other', 'Payments', 'Software']",1.0,5.5,Lorenzo Pieri,2,2019-02-05,120000.0,Pre-Seed,120000.0,Techstars,1.0,1.0,0.0,,,,0,125,1,2-10,2,10
000340,Anytype,"['Blockchain', 'Operating Systems', 'Software']",Anytype is a developer of file storage software for Web3 that is intended to provide a secure location for digital content.,"13,958",2018-01-01,,https://anytype.io,https://twitter.com/anytypelabs,https://www.facebook.com/Anytypelabs,https://www.linkedin.com/company/anytype,"Anytype is a developer of file storage software for Web3 that is intended to provide a secure location for digital content. The company's software keeps information locally and allows clients to manage their work online by creating dashboards and capturing and organizing ideas with text, photos, and dozens of other media types without compromising privacy.","['Blockchain and Cryptocurrency', 'Other', 'Platforms', 'Software']",1.0,75.5,Zhanna Sharipova,6,2023-08-23,12300000.0,Series A,14684858.0,"Techstars, Protocol Labs, s16vc, Charlie Songhurst, Balderton Capital",2.0,27.0,0.0,,,,0,2399,272,11-50,11,50
000341,Apheris,"['Analytics', 'Artificial Intelligence (AI)', 'Computer', 'InsurTech', 'Machine Learning', 'Network Security']","Apheris is a network security provider for deep learning, privacy, biomedical data, NLP, and data harmonization.","15,205",2019-01-01,,https://www.apheris.com,https://twitter.com/apheris_AI,,https://www.linkedin.com/company/apheris-ai,"apheris AI was founded by Robin Rohm and Michael Höh with a shared dream to empower companies to run analytics on decentralized datasets. Michael developed software infrastructure for distributed data during his PhD at Forschungszentrum Julich and his time at BCG. Robin has a background in algebraic theories for data linkage and data privacy and has experienced the complexity of centralizing sensitive personal healthcare data firsthand in one of his previous start-ups.    Through their work, they encountered barriers that limit progress within data driven industries: data is often stored in silos and most companies work in closed data ecosystems. Therefore, Apheris strives to connect the world’s data to extract better insights.","['Artificial Intelligence (AI)', 'Consumer Electronics', 'Data and Analytics', 'Financial Services', 'Hardware', 'Information Technology', 'Privacy and Security', 'Science and Engineering', 'Software']",1.0,30.5,Robin Rohm,4,2022-11-08,8700000.0,Seed,11737890.0,"Octopus Ventures, LocalGlobe, Charlie Songhurst, Dig Ventures, System.One",3.0,13.0,0.0,,,,0,4945,34,11-50,11,50
000342,Apryl,"['Health Care', 'Medical', 'Wellness']",Apryl is a fertility benefits platform that helps in overcoming inequality.,"45,356",2019-01-01,2024-06-24,https://apryl.co/,,,https://www.linkedin.com/company/apryl/,Apryl is a fertility benefits platform that helps in overcoming inequality.,['Health Care'],2.0,30.5,"Jenny Saft, Tobias Kaufhold",4,2022-06-15,,Non-equity Assistance,4306497.0,"Google for Startups, Breega, Atlantic Labs, AFI Ventures, Myelin VC",3.0,8.0,0.0,Was Acquired,Progyny,2024-06-24,0,4716,9,11-50,11,50
000343,AristanderAI,['Machine Learning'],We're bringing the dynamic pricing algorithms that power companies like Amazon to medium and small e-commerce companies.,"282,376",2018-12-01,,https://aristander.ai,,,https://www.linkedin.com/company/aristander-ai/,"We're bringing the dynamic pricing algorithms that power companies like Amazon to medium and small e-commerce companies. You install our plugin, we begin tracking the customer journeys, and we deliver better prices using machine learning - bringing our users up to 15% in net profit uplift. We're making a faster, low-cost solution for price optimization, therefore reaching a much wider audience. We're doing this by using automated machine learning + e-commerce plugins to reduce # of data scientists required per project, and cost of integration + feature annotation.","['Artificial Intelligence (AI)', 'Data and Analytics', 'Software']",2.0,5.5,"Arne Reichelt, William Angell",1,2021-09-16,,Non-equity Assistance,,EY Startup Academy,0.0,1.0,0.0,,,,0,93,3,2-10,2,10
000344,ArtNight GmbH,"['Art', 'E-Commerce']",ArtNight GmbH offers unique do-it-yourself art workshops.,"273,946",2016-01-01,,https://www.artnight.com/,,,https://www.linkedin.com/company/artnight,ArtNight GmbH offers unique do-it-yourself art workshops.,"['Commerce and Shopping', 'Media and Entertainment']",4.0,30.5,"Aimie-Sarah Carstensen, David Neisinger, Juliane Leupold, Wolfgang Mauer",4,2022-04-21,,Venture - Series Unknown,,"IBB Ventures, STS Ventures, Acton Capital, Best Nights VC, Florian Huber",1.0,6.0,0.0,,,,0,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE
000345,Asana Rebel,"['Apps', 'Fitness', 'Health Care', 'Lifestyle', 'Nutrition', 'Wellness']",Asana Rebel is a young and growing startup committed to creating highly engaging health and fitness experiences.,"119,653",2015-03-15,,http://www.asanarebel.com/,https://twitter.com/asanarebel,https://www.facebook.com/asanarebel/,https://www.linkedin.com/company/17966629/,"Asana Rebel offers a Yoga-inspired fitness app combining the best of Yoga and fitness. The mobile fitness App is available in six languages (DE, EN, FR, PT, ESP, IT), has been featured multiple times by Apple and Google and is rated as one of the top health and fitness apps, with an average of more than 4.6 / 5 stars. The startup was founded in 2015 by Pascal Klein and Robin Pratap and is based in Berlin.","['Apps', 'Community and Lifestyle', 'Food and Beverage', 'Health Care', 'Software', 'Sports']",2.0,30.5,"Pascal Klein, Robin Pratap",4,2018-09-04,17400000.0,Series B,24800000.0,"Headline, HTGF | High-Tech Gruenderfonds, Greycroft, Astutia Ventures, ProSiebenSat.1 Accelerator",5.0,8.0,0.0,,,,0,3341,30,11-50,11,50
000346,AskBy.ai,"['Artificial Intelligence (AI)', 'Business Intelligence', 'Machine Learning', 'Natural Language Processing', 'Semantic Search', 'Text Analytics']",The NLP Company - Understanding Natural Language.,"1,855,508",2018-01-01,,https://www.askby.ai,,,https://www.linkedin.com/company/askby-ai,AskBy.ai is a research & development company that solves problems in the area of Natural Language Processing (NLP) & Machine Learning. We create tailored solutions for your Natural Language Processing problems with state-of-the-art Machine Learning methods.,"['Artificial Intelligence (AI)', 'Data and Analytics', 'Internet Services', 'Science and Engineering', 'Software']",3.0,5.5,"Hans Ritschl, Jan Saputra Müller, Sajagan Thirugnanam",1,2018-03-01,,Seed,,SquareOne Venture Capital,1.0,1.0,0.0,,,,0,114,1,2-10,2,10
000347,Assembly,"['Cryptocurrency', 'Software']",Assembly uses Iota's feeless foundation layer as an immutable trust to alleviate the limits of current scaling methods.,"70,348",2015-01-01,,https://assembly.sc/,https://twitter.com/assembly_net,,https://www.linkedin.com/company/assembly-net/,Assembly uses Iota's feeless foundation layer as an immutable trust to alleviate the limits of current scaling methods.,"['Blockchain and Cryptocurrency', 'Financial Services', 'Payments', 'Software']",2.259757738896366,175.5,,2,2021-12-10,100000000.0,Venture - Series Unknown,118000000.0,"HTX, GSR, UOB Venture, LD Capital, HashKey Capital",2.0,8.0,0.0,,,,0,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE
000348,AssistMe,"['Elder Care', 'Health Care', 'Home Health Care', 'Internet of Things', 'Medical Device', 'Outpatient Care', 'Personal Health', 'SaaS']",We are digital pioneers for scientifically based and practice-proven smart assistance solutions to support the care.,"44,896",2016-12-21,,https://www.assistme.io/,https://twitter.com/AssistMe_io,https://www.facebook.com/AssistMe.io/,https://www.linkedin.com/company/assistr-digital-health-systems-gmbh/,"With a smart, adaptive and automated form of data processing and preparation, alea opens the way for future-proof, digitally supported everyday care. As an initial component of the AssistMe care platform, alea enables a contemporary, efficient care data culture for future intersectoral, networked processes and digitally supported teamwork. In the end, the aim is to effectively support care in times of a shortage of skilled workers through more self-determined content transparency - with complete personal autonomy and freedom of action and less redundancy & stress. Elderly Care will struggle in the next 10 years due to an increasing ageing population, fewer caregivers, more workload, stress, and manual documentation. All of that is a problem for the well-being of those in need of care. Furthermore, the incontinence management means large time and material expenses for caregivers. With the joint system, both companies can equip over 80 % of care recipients in care homes. An initial scientific study proved that the system could save 23 % of adult diapers and time while changing them. Together with significantly fewer leakages, the caregiver can reinvest the time gained in even higher quality care work. This ultimately has the potential to benefit care recipients in terms of quality of sleep and life.  Digital functions for optimized care processes   With a very new smart sensor strip, we made leading quality adult diaper brands compatible with the digital possibilities of intelligent care technology of alea. The system reveals where care needs exist, but are not immediately visible, e.g. the urine status in the adult diaper which previously was not known until manually checked. The system transforms this initially hidden care and health data and converts it into digital, structured, immediately understandable real-time information for elderly care and its relevant stakeholders. All functionalities are based on the device alea sensor clip on smart Diaper products, which can be attached and changed in seconds. With just one quick click, caregivers turn the smart diaper into a ready-to-use digital care assistance system. With an optimal sensor position in the centre of the adult diaper and without direct skin contact. The alea hardware can generate highly valid information and make it available to care staff in real time through the mobile and web apps. The care-relevant information of alea includes the amount of urine, movements in the care bed for effective pressure ulcer prevention, fall detection and zone management.  How caregivers, care homes & care recipients benefit   Over 80 % of care home residents suffer from incontinence. This is a major challenge for everyone involved. The smart system solves issues for all care related audiences: Care recipients benefit from less time in full incontinence pads, but also benefit from fewer manual visual checks during bedtimes. In addition, there is a higher level of safety and prevention. By reducing time-consuming routine and visual checks on an as-needed basis. Caregivers can invest the time gained in other important or relevant care tasks. In this way, they can increase their self-determination in their work and thus their job satisfaction. Thanks to the significant savings in materials and costs, care home operators gain more planning security and can focus their business value creation even better on direct care for people in need of care. In this way, care homes can position themselves as more attractive employers for care staff because they have state-of-the-art digital equipment. With the Care. For the Care.    The solution was developed and tested together with the care practice. With the IoT and future-proof platform approach, caregivers will benefit from additional functions in an established and accepted product setting. The system can be connected to various care documentation systems via open interfaces. The aim of the solution is not only to reduce the workload for all those involved in care. Care homes can also optimize teamwork and automate routine processes to support caregivers in the interests of people-centric care in the face of an increasing shortage of skilled staff. With the market entry, care homes can obtain information and order from us or one of our partners. While they order smart Diapers from our partners in the unit price context they are used to, alea Digital System comes as a software-as-a-service model. Without any additional initial costs, they can use all functions via personally provided hardware and software for each care recipient – for the most cost-efficient and needs-orientated use.","['Health Care', 'Internet Services', 'Software']",2.0,30.5,"Jens Grudno, Julio Brandl",5,2019-10-08,2000000.0,Series A,5681542.0,Sunhope Capital,0.0,1.0,0.0,,,,0,1522,27,11-50,11,50
000349,Atmo Home,['E-Commerce'],Modern home essentials to care for your space and self.,"456,241",2019-12-01,,http://www.atmohome.com,,https://www.facebook.com/Atmo-Home-106996267748698,https://www.linkedin.com/company/42783906/admin/,"Atmo Home is a consumer brand that offers beautifully-designed home essentials that elevate every day routines into rituals to look forward to. Designed with intention to be customizable, planet positive and accessible, Atmo’s products support modern consumers in better caring for their space and self.",['Commerce and Shopping'],1.0,5.5,Margaret Trainor,2,2022-02-01,,Non-equity Assistance,,"Google for Startups, SCNE",1.0,2.0,0.0,,,,0,157,2,2-10,2,10
000350,AtomLeap,"['Analytics', 'Artificial Intelligence (AI)', 'Big Data', 'Business Intelligence', 'Information Technology', 'Machine Learning', 'Natural Language Processing', 'SaaS']",AtomLeap uses machine learning and big data to help organizations make better decisions.,"268,710",2015-05-21,,https://atomleap.com,,https://www.facebook.com/atomleap,https://www.linkedin.com/company/atomleap,"AtomLeap is a technology intelligence provider. We use machine learning to analyze global data on high-tech innovations and the companies driving them, and we generate strategic intelligence to help our clients manage risks, capture growth, and make better decisions. Our AI-driven insights have helped business leaders inform and validate their most critical decisions, from acquisitions and R&D roadmapping to maintain competitive advantage, to  identifying new technologies for portfolio expansion, and designing comprehensive strategies to enter into new business areas.","['Artificial Intelligence (AI)', 'Data and Analytics', 'Information Technology', 'Science and Engineering', 'Software']",4.0,30.5,"Hannfried Leisterer, Jens Wiechers, Robin Tech, Thomas Andrae",1,2020-04-23,,Seed,,CIMEDO,0.0,1.0,0.0,,,,0,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE
000351,AUCTA,['Information Technology'],3D visualization platform to unlock the potential of CAD in industrial sales & marketing and training & servicing.,"118,166",2019-05-01,,https://aucta.io,https://twitter.com/aucta_io,,https://www.linkedin.com/company/aucta,AUCTA enables industrial companies to unlock their full potential with 3D technologies. The intuitive platform utilizes complex CAD data for marketing & sales and training & servicing.,['Information Technology'],3.0,30.5,"Daniel Seiler, Elias Alonso, Henri Huselstein",2,2020-12-12,500000.0,Pre-Seed,554758.0,"APX, IBB Ventures",2.0,2.0,0.0,,,,0,563,5,11-50,11,50
000352,Augmania,"['Augmented Reality', 'Content Creators', 'Content Marketing', 'Digital Marketing', 'Image Recognition', 'Retail', 'SaaS', 'Web Browsers']",The Augmented Reality Platform for creating awesome experiences,"975,137",2015-05-05,,https://www.augmania.com/,https://twitter.com/Augmania_,https://www.facebook.com/augmania.us/,https://www.linkedin.com/company/augmania,"Augmania is a web-based Augmented Reality content marketing solution. It's an interactive experiences generator that allows marketers to create the content on the web and publish it on mobile browsers, no Apps. Creating Augmented Reality Stories using Augmania saves you the effort, time and hassle.  No Augmented Reality development knowledge is required. No Apps is downloaded to view the content. No time is wasted to brainstorm a catchy use case for your brand. Augmania takes care of the hard work while you focus on the creative creation.  Augmania Creator is a DIY self-service campaign builder.  Augmania Viewer leverages the content reach and runs on all web and mobile platforms.  Augmania Repo is an inventory of best Augmented Reality use cases for brands.","['Commerce and Shopping', 'Data and Analytics', 'Hardware', 'Internet Services', 'Media and Entertainment', 'Sales and Marketing', 'Software']",1.0,5.5,Rania Reda,1,2019-05-28,,Non-equity Assistance,,SAP.iO,1.0,1.0,0.0,,,,0,703,1,11-50,11,50
000353,Augmented Robotics,"['Information Technology', 'Service Industry']",Augmented Robotics has the potential to alter our perceptions of everyday life. Schedule a meeting to understand how you can use augmented.,"541,894",2019-01-01,,https://augmented-robotics.com,https://twitter.com/augmentrobotics,https://www.facebook.com/AugmentedRobotics,https://www.linkedin.com/company/augmented-robotics,Augmented Robotics has the potential to alter our perceptions of everyday life. Schedule a meeting to understand how you can use augmented reality to improve the lives of others!,"['Information Technology', 'Other']",2.259757738896366,30.5,,1,2023-10-17,,Seed,,Zero One Hundred,0.0,1.0,0.0,,,,0,2769,21,11-50,11,50
000354,AUTO1 Fintech,"['Auto Insurance', 'Automotive', 'E-Commerce', 'Financial Services', 'FinTech', 'Insurance', 'Retail Technology']",AUTO1 Fintech is a platform offering instant financing and insurance products to automobile dealerships buying and selling used vehicles.,"283,132",2017-12-01,,http://www.auto1-fintech.com,https://twitter.com/auto1_group,https://www.facebook.com/insideAUTO1Group,https://www.linkedin.com/company/auto1-group,AUTO1 Fintech is a digital platform offering instant financing and insurance products to automobile dealerships buying and selling used vehicles via AUTO1.,"['Commerce and Shopping', 'Financial Services', 'Hardware', 'Software', 'Transportation']",1.0,5.5,Taimur Andre R.,1,2018-06-06,,Venture - Series Unknown,,"Deutsche Bank, Allianz X, Polar Light Ventures",0.0,3.0,0.0,,,,0,99760,3702,5001-10000,5001,10000
000355,Autobahn,"['Automotive', 'Cloud Infrastructure', 'Hardware', 'Internet of Things', 'SaaS', 'Software']",Vehicles Sales Platform (VSP) connecting the automotive industry,"129,945",2015-03-26,,http://www.autobahn.tech,,https://www.facebook.com/autobahnvsp,https://www.linkedin.com/company/automobiles-it-solutions-o%C3%BC,"Disrupting the way we sell, order and deliver vehicles by bringing OEMs, importers and dealers closer to the vehicle buyer.  Autobahn is the first VSP (Vehicle Sales Platform), which connects all automotive stakeholders (OEMs, importers, dealers) with the vehicle buyers. Autobahn is a platform designed for the automotive industry and it covers the full vehicle lifecycle, including offers, orders, deliveries, handover and after sale activities. Autobahn helps automotive companies with the digital transformation. We are providing an online platform to restructure the business operations and enable communication between manufacturers, importers, dealers and vehicle buyers. We are working with global automotive brands such as Volkswagen AG, Mercedes-Benz, Peugeot, Mitsubishi, Jeep and Honda. One Industry. One Platform.","['Hardware', 'Internet Services', 'Software', 'Transportation']",1.0,30.5,Martin Piirmaa,5,2021-01-07,300000.0,Private Equity,2235091.0,,0.0,0.0,0.0,,,,0,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE
000356,Automate Estate,"['Big Data', 'Information Technology', 'Market Research', 'Real Estate', 'Real Estate Investment']",buy and sell real estate with the click of a button,"219,463",2019-09-01,,https://www.automate-estate.com,,,https://www.linkedin.com/company/automate-estate,,"['Data and Analytics', 'Design', 'Financial Services', 'Information Technology', 'Real Estate']",3.0,5.5,"Felix Schläger, Nicolas Böttger, Timo Wagner",1,2019-10-01,120000.0,Pre-Seed,131226.0,,0.0,0.0,0.0,,,,0,447,0,2-10,2,10
000357,Autumn AI,"['Artificial Intelligence (AI)', 'Machine Learning', 'Open Source']",Autumn AI makes machine learning and artificial intelligence accessible for developers and companies. Developed Leaf,"129,333",2015-04-01,,http://autumnai.com,,,https://www.linkedin.com/company/autumn,"Autumn AI is a modular, portable, and end-to-end platform that is engineered for developing performant machine intelligence applications. It consists of two frameworks namely Leaf and Collenchyma. Leaf is a cross-platform machine intelligence framework that has a clear architecture and no external dependencies besides Collenchyma. Leaf is easy to maintain, easy to use, and performant. Collenchyma is a portable, platform-agnostic, and high-performance computation framework. Applications build with Collenchyma deploys and executes in parallel on one or many heterogeneous devices on any host machine. The features of the platform are performant, practical, and portable. Autumn AI is a Germany-based company that was founded in 2015 by Michael Hirn and Maximilian Goisser.","['Artificial Intelligence (AI)', 'Data and Analytics', 'Science and Engineering', 'Software']",2.0,5.5,"Maximilian Goisser, Michael Hirn",1,2015-08-03,27430.0,Seed,27430.0,Axel Springer Plug and Play Accelerator,0.0,1.0,0.0,,,,0,39,5,2-10,2,10
000358,AVE + EDAM,"['Consumer Goods', 'Cosmetics']",AVE + EDAM is a manufacturer and seller of skincare products.,"650,093",2018-01-01,,https://aveandedam.com/,,https://www.facebook.com/aveandedam/,https://www.linkedin.com/company/ave-edam,"AVE + EDAM is a skincare product maker and retailer. Their products include night cream, day cream, day and night cream, personalized creams, face cream, body cream, and sets of creams.",['Consumer Goods'],1.0,5.5,Shirin Navab,1,2020-04-17,,Seed,,"Joyance Partners, Social Starts",0.0,2.0,0.0,,,,0,687,6,2-10,2,10
000359,Aware The Platform,"['E-Learning', 'Education', 'Training']","aware is a platform that provides global insights and ideas about how sustainable innovations will change the way we think, live and act","291,250",2019-01-01,,https://aware-theplatform.com/,,,https://www.linkedin.com/company/tobeaware/,"Aware The Platform is a thorough educational tool, information source, and daily reference that aims to promote planet-friendly habits. They establish a setting for independent study, contemplation, and action. As a user, employee, or business, people can naturally make wise decisions with the aid of this framework of comprehensive data and tools. In order to be the preferred provider on the way to positive and revolutionary change.","['Education', 'Software']",2.0,5.5,"Kim N. Fischer, Lena Schrum",1,2021-07-15,,Seed,,Forward31,1.0,1.0,0.0,,,,0,4468,3,11-50,11,50
000360,B2B Food Group,"['Catering', 'Food and Beverage', 'Food Delivery', 'SaaS']","B2B Food Group acquires, improves and grows software companies serving B2B clients.","235,163",2018-06-01,,https://www.b2bfood.group,,,https://www.linkedin.com/company/b2bfg,"We acquire, improve and grow software companies serving B2B clients. We are proud owners of the market leading B2B catering platform in Australia (eatfirst.com) and the best tech solution for cloud canteen in Europe (feedr.co).  We are backed by Europe's leading VCs and the largest global catering company (Compass Group).","['Food and Beverage', 'Software', 'Transportation']",2.0,175.5,"Adrian Frenzel, Doreen Huber",1,2018-11-22,,Series A,,"Target Global, HV Capital, Global Founders Capital, Avala Capital, Confidential ‏‏‎ ‎‏‏‎ ‎‏‏‎ ‎‏‏‎ ‎",0.0,5.0,7.0,Made Acquisitions,,,0,715,2,51-200,51,200
000361,babelforce,['Communications Infrastructure'],babelforce is a global cloud communications platform focussed on no-code integration and automation.,"38,171",2018-01-01,,https://www.babelforce.com/,https://twitter.com/babelforce,https://www.facebook.com/babelforce/,https://www.linkedin.com/company/babelforce/,"babelforce is a global cloud communications platform focussed on no-code integration and automation. Build and manage any call handling process. Leverage our global telecommunications infrastructure to offer premium call quality. Connect your devices, channels and integrate your core business tools – no coding required.",['Hardware'],4.0,30.5,"Christian Forster, Julian Hertzog, Pierce Buckley, Timo Friedl",2,2022-12-07,4000000.0,Series A,4204821.0,"IBB Ventures, EnBW New Ventures, Hannover Digital Investments",2.0,3.0,0.0,,,,0,4782,38,11-50,11,50
000362,Back,"['Information Services', 'Information Technology', 'SaaS', 'Software']",Back Technologies is a software company that organizes and automates employee requests on one intuitive platform.,"49,741",2018-01-01,2022-05-24,https://backhq.com,https://twitter.com/backhq_,,https://www.linkedin.com/company/backhq,Back is a modern collaboration and automation platform that enables internal service and business operations teams to manage all workplace requests on one intuitive platform.,"['Information Technology', 'Software']",2.0,30.5,"Christian Eggert, James Lafa",2,2020-06-18,3300000.0,Seed,3300000.0,"Seedcamp, Charlie Songhurst, Gradient, Point Nine, La Famiglia",2.0,7.0,0.0,Was Acquired,Personio,2022-05-24,0,2417,90,11-50,11,50
000363,Bambus.io,"['Finance', 'Real Estate', 'Real Estate Investment']",Bambus provides a one-stop solution for real estate owners.,"309,303",2018-01-01,,https://bambus.io,https://mobile.twitter.com/bambusio,https://www.facebook.com/bambusio/,https://www.linkedin.com/company/bambusio/,"Bambus provides a one-stop solution for real estate owners. Bambus was founded in 2018 and was headquartered at Berlin, Germany.","['Financial Services', 'Real Estate']",2.0,5.5,"Franz Hoerhager, Patrick Wollner",3,2023-09-26,,Seed,,"Tenity, Calm/Storm Ventures, i5invest, Jan Deepen, GE32 Capital",2.0,9.0,0.0,,,,0,533,5,2-10,2,10
000364,Banana Beauty,"['Beauty', 'E-Commerce']",Banana Beauty is a makeup brand that is developed by the online community – for the community.,"352,160",2018-01-01,2022-12-01,https://www.bananabeauty.de/,,https://www.facebook.com/pg/bananabeauty.de/,https://www.linkedin.com/company/bananabeauty/,Banana Beauty is a makeup brand that is developed by the online community – for the community.,"['Commerce and Shopping', 'Consumer Goods']",2.259757738896366,5.5,,1,2018-01-15,,Undisclosed,,Capital D,0.0,1.0,0.0,Was Acquired,GRENION Group,2022-12-01,0,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE
000365,Basking.io,"['Analytics', 'Artificial Intelligence (AI)', 'Location Based Services', 'Real Estate', 'SaaS', 'Software']",Basking.io is an AI & WiFi-based workplace occupancy analytics platform.,"65,542",2017-12-01,,http://basking.io,https://twitter.com/basking_io,,https://www.linkedin.com/company/basking-workplace-analytics,"Basking.io is an AI & WiFi-based workplace occupancy analytics solution for enterprise companies, enabling real-time attendance monitoring, safety compliance and portfolio optimization insights. Basking takes less than 2 hours to connect to multiple offices, delivers top ROI in portfolio scale deployments, and is privacy-protective by design. It's used by Fortune 500 companies across North America, LATAM, EMEA and APAC. Basking's partners include Colliers International, Cisco, Comfy Siemens, HP and Extreme Networks.","['Artificial Intelligence (AI)', 'Data and Analytics', 'Internet Services', 'Navigation and Mapping', 'Real Estate', 'Science and Engineering', 'Software']",4.0,5.5,"Eldar Gizzatov, Mohamad Chehab, Olmo Mezger, Rinat Silnov",3,2021-08-12,,Seed,120000.0,"Techstars, Future Energy Ventures, Aconterra, Blue Field Capital, Ray Wirta",1.0,5.0,0.0,,,,0,2542,19,11-50,11,50
000366,Bayes Esports Solutions,['Management Consulting'],Bayes Esports provides official live esports data to clients through partnerships.,"57,376",2018-01-01,,https://bayes.gg,https://www.twitter.com/BayesEsports,https://www.facebook.com/BayesEsports,https://www.linkedin.com/company/BayesEsports,"Bayes provides clients with official, live esports data for the most popular game titles. Bayes delivers high-quality data directly from the source to data consumers, media clients, licensed betting operators, and digital service providers. Bayes Esports produces entrepreneurs, visionaries, and creative professionals who bring forth expertise in betting, data science, and gaming. They have built an unmatched, diverse ecosystem of data consumers, covering relevant use cases from media to service providers, analytic companies, betting operators, and community partners.",['Professional Services'],1.0,30.5,Sven Lund,2,2023-02-06,,Series A,6263368.0,"BITKRAFT Ventures, Sands, P.A.C. Capital",1.0,3.0,0.0,,,,0,4514,86,51-200,51,200
000367,BEAD Technology,"['Artificial Intelligence (AI)', 'Internet of Things', 'Smart Building']",BEAD creates digital models of buildings by using real-time data and AI.,"96,101",2015-01-01,,http://www.enbead.com,https://twitter.com/@TechnologyBead,https://www.facebook.com/pg/BEAD-192305354913713/,https://www.linkedin.com/company/beadtech/,"BEAD develops an IoT system which is called BEAD to help commercial buildings owners optimize their energy usage and operations by adopting the automation system to the day cycle and occupancy of the building BEAD is an IoT device that analyses and learns the daily use cycle, user behavior and occupancy changes of commercial buildings in order give feedback to automation systems connecting it to the real time operation of the building. BEAD analysis learns from the building and its users and is empowered to start taking over the most intelligent operation of the building. The building will not only be a smart building but also a building operated by artificial intelligence based on ever-improving, anonymised data. It controls automation and redirects energy to be used where and when it is needed. Its logic builds on the idea that buildings are dynamic entities and should be treated more like living and learning organisms and not like static dumb assets. Today, they give the opportunity to commercial buildings owners who don't know how they consume energy to connect with the buildings life cycle in order to save energy and cost while getting the same level of quality as up to now via operating the buildings with BEADs' AI. With the help of BEAD the buildings will have a smart energy agent that works and operates the building 7/24. BEAD furthermore analyses how commercial buildings consume energy according to human behavior, occupancy ratios and ambiance and environmental changes in the building in order to give real-time feedback to the automation system. BEAD is the first step to AI operated learning buildings that can adapt themselves operating with real time feedback loops in order to save energy without losing comfort and sustainability","['Artificial Intelligence (AI)', 'Data and Analytics', 'Internet Services', 'Real Estate', 'Science and Engineering', 'Software']",4.0,5.5,"Cem Aybar, Hayrettin erturk, Sean Tao, Soner Haci",10,2020-06-01,,Non-equity Assistance,475000.0,"Startupbootcamp Australia, Upward, Katapult, AcceliCITY powered by Leading Cities, European Data Incubator",1.0,6.0,0.0,,,,0,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE
